Group,Ideology,Website,ExternalLinksToSite,OwnersOtherDomains,SiteDescription,OnlineSince,SiteTitle,ThreeMonthAvgUSRank,PageViewsPerMillion,PageViewsPerUser,ContributingSubdomains
United Riot Records,Hate Music & Neo-Nazi,http://www.angelfire.com/indie/unitedriotrecords/frameset.html,89725,"{u'OwnedDomain': [{u'Domain': u'gamesville.com', u'Title': u'gamesville.com'}, {u'Domain': u'getrelevant.com', u'Title': u'getrelevant.com'}, {u'Domain': u'getrelevent.com', u'Title': u'getrelevent.com'}, {u'Domain': u'goaescorts.com', u'Title': u'goaescorts.com'}, {u'Domain': u'gujaratescorts.com', u'Title': u'gujaratescorts.com'}, {u'Domain': u'hotbot.com', u'Title': u'hotbot.com'}, {u'Domain': u'hotwired.com', u'Title': u'hotwired.com'}, {u'Domain': u'hyderabadescorts.com', u'Title': u'hyderabadescorts.com'}, {u'Domain': u'indiasexguide.org', u'Title': u'indiasexguide.org'}, {u'Domain': u'lycos.com', u'Title': u'lycos.com'}, {u'Domain': u'lycosqa.com', u'Title': u'lycosqa.com'}, {u'Domain': u'mailcity.com', u'Title': u'mailcity.com'}, {u'Domain': u'matchmaker.com', u'Title': u'matchmaker.com'}, {u'Domain': u'puneescorts.com', u'Title': u'puneescorts.com'}, {u'Domain': u'ragingbull.com', u'Title': u'ragingbull.com'}, {u'Domain': u'sonique.com', u'Title': u'sonique.com'}, {u'Domain': u'tripod.com', u'Title': u'tripod.com'}, {u'Domain': u'tripod.net', u'Title': u'tripod.net'}, {u'Domain': u'webmonkey.com', u'Title': u'webmonkey.com'}, {u'Domain': u'whowhere.com', u'Title': u'whowhere.com'}, {u'Domain': u'wired.com', u'Title': u'wired.com'}, {u'Domain': u'wiredstore.net', u'Title': u'wiredstore.net'}]}",,15-Oct-1998,angelfire.com/indie/unitedriotrecords/frameset.html,10414,4.25,1.68,"angelfire.com, dawn666blacksun.angelfire.com, tmsexymaria.angelfire.com, sbradyman.angelfire.com, enricks.angelfire.com, seoteknikleri.angelfire.com, apostoladosagradoscoracoes.angelfire.com, hemaruce.angelfire.com, zhra.angelfire.com, OTHER"
American Renaissance,White Nationalist,http://www.amren.com/,1813,,A conservative publication. Promotes a variety of white racial positions.,11-Aug-1995,American Renaissance,67745,0.71,2.5,"amren.com, store.amren.com"
America's Promise Ministries,Christian Identity,http://www.americaspromiseministries.org/,6,,,,americaspromiseministries.org/,10854134,0,1,
American Vision,Anti-LGBT,http://www.americanvision.org,877,,Current events analysis from a Reformed Christian perspective.,30-Jun-1998,The American Vision,263553,0.12,2.0,"americanvision.org, store.americanvision.org"
Americans for Truth about Homosexuality,Anti-LGBT,http://www.americansfortruth.com,673,,Countering the homosexual activist agenda with opinion and commentary.,17-Feb-1998,Americans For Truth!,1414634,0.01,1.8,DataUrl
American Nazi Party,Hate Music & Neo-Nazi,http://www.americannaziparty.com/,249,,"The American Nazi Party is a Political-Educational Association, dedicated to the 14 WORDS. We are committed to bringing American National Socialism, first created and embodied by our late Commander George Lincoln Rockwell, out of the past Phase One activities which at the time served their purpose well, and into the 21 st Century. ...",27-Aug-1999,Americannaziparty.com,497881,0.05,1.8,DataUrl
American Freedom Law Center,Anti-Muslim,http://www.americanfreedomlawcenter.org/,261,,,,americanfreedomlawcenter.org/,2224914,0.01,1.3,DataUrl
American Freedom Alliance,Anti-Muslim,http://www.americanfreedomalliance.org/,127,,,,americanfreedomalliance.org/,5923552,0,1,
American Constitution Center,Anti-Muslim,http://www.americanconstitutioncenter.org/,3,,,,americanconstitutioncenter.org/,6542533,0,2,
American Clarion,General Hate,http://www.americanclarion.com/,128,,"American values, coming through loud and clear. News and commentary from a Christian, conservative perspective. Featuring exclusive and syndicated content from dozens of authors around the United States.",,American Clarion,5421794,0,2,
American Border Patrol,Anti-Immigrant,http://www.americanborderpatrol.com,109,,,03-Jun-2002,americanborderpatrol.com/,,,,
Altra Firearms,Anti-Muslim,http://www.altrafirearms.com/,4,,,,altrafirearms.com/,4662753,0.01,10,"store.altrafirearms.com, OTHER"
All Eyes On Egipt Bookstore,Black Nationalist,http://www.alleyesonegiptchgo.webs.com/,1,,,,alleyesonegiptchgo.webs.com/,6145388,0,1,
Americans for Legal Immigration (ALIPAC),Anti-Immigrant,http://www.alipac.us,778,"{u'OwnedDomain': {u'Domain': u'alipac.org', u'Title': u'alipac.org'}}",Addresses the disparity between the public's desire for more control of illegal immigration and the actions of lawmakers. News articles updated daily.,06-Sep-2004,Americans for Legal Immigration - ALIPAC,736615,0.04,2.5,DataUrl
Tony Alamo Christian Ministries,General Hate,http://www.alamoministries.com/content/english/,182,,,19-Jul-1999,alamoministries.com/content/english,862519,0.02,1.4,DataUrl
Aggressive Christianity,General Hate,http://www.aggressivechristianity.net/,60,,"The Shimrana Ekklesia Community led by James and Deborah Green in Fence Lake, New Mexico. Visions, beliefs, and sermons.",18-Sep-2004,Aggressive Christianity,1348860,0.01,1.3,DataUrl
American Family Association Pennsylvania,Anti-LGBT,http://www.afaofpa.org,63,,,12-May-2003,afaofpa.org/,6876921,0,3,
American Family Association,Anti-LGBT,http://www.afa.net,1938,"{u'OwnedDomain': [{u'Domain': u'afabama.org', u'Title': u'afabama.org'}, {u'Domain': u'afajournal.org', u'Title': u'afajournal.org'}, {u'Domain': u'agapepress.org', u'Title': u'agapepress.org'}, {u'Domain': u'nogaymarriage.com', u'Title': u'nogaymarriage.com'}, {u'Domain': u'onemilliondads.com', u'Title': u'onemilliondads.com'}, {u'Domain': u'onemillionyouth.com', u'Title': u'onemillionyouth.com'}, {u'Domain': u'rallysoft.com', u'Title': u'rallysoft.com'}, {u'Domain': u'spiritualheritagetours.com', u'Title': u'spiritualheritagetours.com'}, {u'Domain': u'stopliberaljudges.com', u'Title': u'stopliberaljudges.com'}, {u'Domain': u'themethodistchurch.com', u'Title': u'themethodistchurch.com'}]}",Includes information designed to assist with Christian living on a practical level. The AFA offers many thought provoking articles.,06-Oct-1996,American Family Association,230420,0.11,1.5,"afa.net, OTHER"
All Eyes On Egypt Bookstore,Black Nationalist,http://www.aeoebookstore.com/,7,,,,aeoebookstore.com/,4267673,0,3,
Alliance Defending Freedom,Anti-LGBT,http://www.adflegal.org,551,,,,adflegal.org/,250680,0.1,1.5,"adflegal.org, OTHER"
Foundation for Advancing Christian Truth,Anti-Muslim,http://www.acts17.net/,128,,,,acts17.net/,1983372,0.01,1.8,DataUrl
ACT for America,Anti-Muslim,http://www.actforamerica.org/,972,,"Provides American citizens with a means to be a collective voice for the democratic values of Western Civilization, and against the threat of radical Islam.",,ACT for America,448483,0.05,1.6,DataUrl
American College of Pediatricians,Anti-LGBT,http://www.acpeds.org,635,,"Promoting quality education for parents, physicians, and other health professionals. Includes membership details , position statements and educational resources.",10-Sep-2002,American College of Pediatricians,474652,0.05,1.5,DataUrl
a2z Publications,General Hate,http://www.a2zpublications.com/,28,"{u'OwnedDomain': {u'Domain': u'kriegbooks.com', u'Title': u'kriegbooks.com'}}",,16-Dec-2002,a2zpublications.com/,,,,
whitereference.blogspot.hu/,Hate Music & Neo-Nazi,http://whitereference.blogspot.hu/,,,,,whitereference.blogspot.hu/,,,,
whiterabbitradio.net/,Hate Music & Neo-Nazi,http://whiterabbitradio.net/,144,,,,whiterabbitradio.net/,179268,0.17,1.8,DataUrl
White Rabbit Radio,White Nationalist,http://whiterabbitradio.net/,144,,,,whiterabbitradio.net/,179268,0.17,1.8,DataUrl
whitenations.com/,Hate Music & Neo-Nazi,http://whitenations.com/,43,,,,whitenations.com/,1383757,0.02,3.6,DataUrl
whitenationalists.com/,Hate Music & Neo-Nazi,http://whitenationalists.com/,1,,,,whitenationalists.com/,,,,
Werewolf 88,Hate Music & Neo-Nazi,http://werwolf88radio.blogspot.com/,,,,,werwolf88radio.blogspot.com/,,,,
War On The Horizon,Black Nationalist,http://waronthehorizon.com/,61,,,,waronthehorizon.com/,3328915,0,2,
Vinland Clothing,Hate Music & Neo-Nazi,http://vinlandclothing.com/,1,,,,vinlandclothing.com/,8886231,0,3,
Reformation-Bible Puritan-Baptist Church/Vatican Assassins,General Hate,http://vaticanassassins.org/,651,,Book contends that Kennedy died at the hands of the Society of Jesus at the order of its Jesuit General.,22-Mar-2000,Vatican Assassins,1940924,0.01,1.5,
Vanguard Productions,Hate Music & Neo-Nazi,http://vanguard-productions.com/home/,10,,,,vanguard-productions.com/home,13797351,0,3,
United Northern and Southern Knights of the Ku Klux Klan,KKK,http://unskkkk.com/,15,,,,unskkkk.com/,2405999,0.01,2.1,
United Riot Records,Hate Music & Neo-Nazi,http://unitedriotrecords.blogspot.com/,1,,,,unitedriotrecords.blogspot.com/,,,,
United Riot Records,Hate Music & Neo-Nazi,http://unitedriotrecords.bigcartel.com/,24,,,,unitedriotrecords.bigcartel.com/,9693813,0,3,
Understanding the Threat,Anti-Muslim,http://understandingthethreat.com/,88,,,,understandingthethreat.com/,969812,0.02,1.8,DataUrl
Uncle Sams Misguided Children,Black Nationalist,http://unclesamsmisguidedchildren.com/,96,,,,unclesamsmisguidedchildren.com/,230796,0.12,1.7,"news.unclesamsmisguidedchildren.com, unclesamsmisguidedchildren.com"
Truth Will Out Films,Holocaust Denial,http://truthwillout.tv/,11,,,,truthwillout.tv/,1868556,0.01,2.0,DataUrl
National Prayer Network,General Hate,http://truthtellers.org/index.html,414,,,19-Sep-2000,The National Prayer Network's,1781826,0.01,1.3,DataUrl
Traditionalist American Knights of the Ku Klux Klan,KKK,http://traditionalistamericanknights.com/,62,,,,traditionalistamericanknights.com/,3132603,0.01,2,
Tightrope Records,Hate Music & Neo-Nazi,http://tightrope.cc/catalog/,142,"{u'OwnedDomain': {u'Domain': u'whiterevolution.com', u'Title': u'whiterevolution.com'}}",,,tightrope.cc/catalog,464247,0.1,4.2,DataUrl
The Watchman files,Christian Identity,http://thewatermanfiles.com/,27,,,,thewatermanfiles.com/,8039189,0,2,
"United West, The",Anti-Muslim,http://theunitedwest.org/,183,,,,theunitedwest.org/,5797621,0,1,
The Right Stuff,White Nationalist,http://therightstuff.biz/,616,,,,therightstuff.biz/,37115,3.14,7.43,"forum.therightstuff.biz, therightstuff.biz, blog.therightstuff.biz"
The Realist Report,Holocaust Denial,http://therealistreport.com/,305,,,,therealistreport.com/,1111315,0.02,1.7,DataUrl
Supreme White Alliance,Hate Music & Neo-Nazi,http://swa43.com/forum/index.php,83,,,,swa43.com/forum,18353379,0,2,
Supreme White Alliance,Hate Music & Neo-Nazi,http://swa43.com/,83,,,,swa43.com/,18353379,0,2,
Sultan Knish a blog by Daniel Greenfield,Anti-Muslim,http://sultanknish.blogspot.com/,1600,,,,sultanknish.blogspot.com/,502083,0.04,1.2,DataUrl
Invictus Books,General Hate,http://stores.invictusbooks.com/,4,,,,stores.invictusbooks.com/,13626311,0,1,
Nation Of Islam,Black Nationalist,http://stocktonnoi.wix.com/info#!__stockton---nation-of-islam/contact,,,,,stocktonnoi.wix.com/info%23!__stockton---nation-of-islam/contact,,,,
Stalhelm Records,Hate Music & Neo-Nazi,http://stahlhelmrecords.tumblr.com/,,,,,stahlhelmrecords.tumblr.com/,11519141,0,2,
Soldiers Of the Cross Training Institute,KKK,http://sotctraininginstitute.com,1,,,,sotctraininginstitute.com/,,,,
Holy Nation of Odin,General Hate,http://sonsofodin1519.org/,4,,,,sonsofodin1519.org/,6637200,0,2,
Sons of Liberty Media (formerly You Can Run But You Cannot Hide),General Hate,http://sonsoflibertymedia.com/,359,,,,sonsoflibertymedia.com/,116704,0.21,1.0,DataUrl
Nation of Islam,Black Nationalist,http://shondelenterprise.wix.com/mosque-97#!contact,,,,,shondelenterprise.wix.com/mosque-97%23!contact,,,,
Sharkhunters International,General Hate,http://sharkhunters.com/,176,,Submarine history with major emphasis on German U-Boats.,03-May-1999,Sharkhunters International Inc.,1645798,0.01,2.1,DataUrl
Secure Michigan,Anti-Muslim,http://securemichigan.org/,38,,,,securemichigan.org/,13785494,0,1,
Christogenea,Christian Identity,http://saxonmessenger.christogenea.org/about,318,,Christianity for the Thinking Man,,Christogenea.org,427013,0.07,2.5,"christogenea.org, mk.christogenea.org, boards.christogenea.org, OTHER"
As-Sabiqun,General Hate,http://sabiqun.org/,10,,,,sabiqun.org/,,,,
"Remnant, The/The Remnant Press",Rad Catholics,http://remnantnewspaper.com/web/index.php,1150,,,28-Aug-2000,remnantnewspaper.com/web,196262,0.16,1.8,DataUrl
Refugee Resettlement Watch,Anti-Muslim,http://refugeeresettlementwatch.wordpress.com/,332,,,,refugeeresettlementwatch.wordpress.com/,409706,0.05,1.2,DataUrl
Rebel Brigade Knights of the Ku Klux Klan,KKK,http://rebelbrigadeknightstrueinvisibleempire.yolasite.com,1,,,,rebelbrigadeknightstrueinvisibleempire.yolasite.com/,17400877,0,2,
Micetrap Distribution,Hate Music & Neo-Nazi,http://radiowhite.net/,,,,19-Aug-2004,radiowhite.net/,,,,
Ozark Craft LC,General Hate,http://puttroopsontheborder.com/ozarkcraft.html,8,,,,puttroopsontheborder.com/ozarkcraft.html,13550564,0,1,
Pig Blood Bullets,Anti-Muslim,http://pigbloodbullets.com/,1,,,,pigbloodbullets.com/,,,,
Parasitic Records,Hate Music & Neo-Nazi,http://parasiticrecords.blogspot.com/,39,,,,parasiticrecords.blogspot.com/,,,,
American Freedom Defense Initiative,Anti-Muslim,http://pamelageller.com/,2804,,"Political News, Commentary and the Global Jihad",,Pamela Geller Atlas Shrugs,49198,0.74,1.53,DataUrl
OSI Temple,Hate Music & Neo-Nazi,http://osi-temple.blogspot.com/,2,,,,osi-temple.blogspot.com/,,,,
Darkness Attacks Records,Hate Music & Neo-Nazi,http://officialblackwitchery.bigcartel.com/,25,,,,officialblackwitchery.bigcartel.com/,5136996,0,4,
NS Publications,Hate Music & Neo-Nazi,http://nspublications.com/,23,"{u'OwnedDomain': [{u'Domain': u'amco.net', u'Title': u'amco.net'}, {u'Domain': u'bangbangbangbang.com', u'Title': u'bangbangbangbang.com'}, {u'Domain': u'chi13.com', u'Title': u'chi13.com'}, {u'Domain': u'chicagofaucets.com', u'Title': u'chicagofaucets.com'}, {u'Domain': u'collegesavingsmd.org', u'Title': u'collegesavingsmd.org'}, {u'Domain': u'corporatepig.com', u'Title': u'corporatepig.com'}, {u'Domain': u'cranstongroup.biz', u'Title': u'cranstongroup.biz'}, {u'Domain': u'cranstongroup.info', u'Title': u'cranstongroup.info'}, {u'Domain': u'earthharvest.org', u'Title': u'earthharvest.org'}, {u'Domain': u'fastwayfms.com', u'Title': u'fastwayfms.com'}, {u'Domain': u'forgottenkingdoms.com', u'Title': u'forgottenkingdoms.com'}, {u'Domain': u'fullyequippedent.com', u'Title': u'fullyequippedent.com'}, {u'Domain': u'granollers.org', u'Title': u'granollers.org'}, {u'Domain': u'keatons.com', u'Title': u'keatons.com'}, {u'Domain': u'kristinelarsen.com', u'Title': u'kristinelarsen.com'}, {u'Domain': u'loansizer.net', u'Title': u'loansizer.net'}, {u'Domain': u'metsuke.com', u'Title': u'metsuke.com'}, {u'Domain': u'neilswaab.com', u'Title': u'neilswaab.com'}, {u'Domain': u'parodius.com', u'Title': u'parodius.com'}, {u'Domain': u'provokator.org', u'Title': u'provokator.org'}, {u'Domain': u'speedyexpress.net', u'Title': u'speedyexpress.net'}, {u'Domain': u'thevancouverclinic.com', u'Title': u'thevancouverclinic.com'}, {u'Domain': u'thprd.org', u'Title': u'thprd.org'}, {u'Domain': u'weburb.org', u'Title': u'weburb.org'}, {u'Domain': u'wintergreenmusic.org', u'Title': u'wintergreenmusic.org'}]}",,04-Feb-2000,nspublications.com/,13375258,0,1,
NSM88 Records,Hate Music & Neo-Nazi,http://nsm88records.com/theshop/,42,"{u'OwnedDomain': {u'Domain': u'nsm88radio.com', u'Title': u'nsm88radio.com'}}",,04-May-2005,Nsm88records.com,1146800,0.06,10,DataUrl
Northwest Front,White Nationalist,http://northwestfront.org/,240,,,,northwestfront.org/,645721,0.04,2.3,DataUrl
Nation of Islam,Black Nationalist,http://noiwinstonsalem.wixsite.com/wsstudygroup/services,106931,,,,noiwinstonsalem.wixsite.com/wsstudygroup/services,559,59.12,1.43,"thefernandaman.wixsite.com, megmiokabe.wixsite.com, zantix.wixsite.com, rateiocursos.wixsite.com, puchirichclub.wixsite.com, moxnox2222.wixsite.com, schmidtconsulting.wixsite.com, angelkwan6.wixsite.com, thomas8602.wixsite.com, kajar9.wixsite.com, goppolsme.wixsite.com, sketchbookpixels.wixsite.com, brittpinkiesims.wixsite.com, vbn1599512005.wixsite.com, elliesimple.wixsite.com, blaclewait.wixsite.com, spectacledchic.wixsite.com, japansecurity.wixsite.com, karasawa1499.wixsite.com, infofirstcoltd.wixsite.com, elreyruletero.wixsite.com, kevin17c.wixsite.com, biomagnetismoonline.wixsite.com, topfilm-liste.wixsite.com, byalchemixgta.wixsite.com, knjcommunity.wixsite.com, forsanalazhar.wixsite.com, serg060183.wixsite.com, ebonixsims.wixsite.com, urantob.wixsite.com, programask.wixsite.com, refuleros.wixsite.com, grooup.wixsite.com, andrakarma.wixsite.com, yamabuki-xx572.wixsite.com, gigantenerd.wixsite.com, d76conference.wixsite.com, astrolady.wixsite.com, 21android.wixsite.com, nickcarter89.wixsite.com, marchenforyou.wixsite.com, joeinoue.wixsite.com, pokelly.wixsite.com, ulabhubroma.wixsite.com, caoliucc.wixsite.com, flairforevents.wixsite.com, ozaki56jp.wixsite.com, stevenbrowncu.wixsite.com, tidusgamecomics.wixsite.com, wakachan020611.wixsite.com, gabrielrvilarouca.wixsite.com, pipe-gba.wixsite.com, vilaotech.wixsite.com, grafity-cc.wixsite.com, guiapandorabox.wixsite.com, neuedada.wixsite.com, daz3dfree.wixsite.com, beststreaming2017.wixsite.com, lloydgday.wixsite.com, knowingbrother.wixsite.com, taya-dream.wixsite.com, blahberrypancake.wixsite.com, detectiveconanw.wixsite.com, zedsoft.wixsite.com, miyajimanuma.wixsite.com, lightsartsproduction.wixsite.com, free-love9.wixsite.com, t-amusefactory.wixsite.com, rgnnr8.wixsite.com, nightpray1.wixsite.com, generacionzx.wixsite.com, chadolbagimore.wixsite.com, savagesims.wixsite.com, assettocorsa-mods.wixsite.com, rlord050.wixsite.com, denbaks.wixsite.com, selvaticonaturista.wixsite.com, howhugeistoohuge.wixsite.com, rqcash.wixsite.com, ayumea.wixsite.com, weronikasims.wixsite.com, npomorineko.wixsite.com, bettercalljo.wixsite.com, ye-developers.wixsite.com, yamatekai.wixsite.com, novvvas.wixsite.com, libresdigital.wixsite.com, tujhrf70.wixsite.com, assettocorsa-land.wixsite.com, aelkaeid.wixsite.com, panpan2558.wixsite.com, chisamidream.wixsite.com, bpenergia.wixsite.com, avogado6.wixsite.com, redmatchbox.wixsite.com, matiasbareiro15.wixsite.com, OTHER"
Nation of Islam,Black Nationalist,http://noiwinstonsalem.wixsite.com/wsstudygroup/about2,106931,,,,noiwinstonsalem.wixsite.com/wsstudygroup/about2,559,59.12,1.43,"thefernandaman.wixsite.com, megmiokabe.wixsite.com, zantix.wixsite.com, rateiocursos.wixsite.com, puchirichclub.wixsite.com, moxnox2222.wixsite.com, schmidtconsulting.wixsite.com, angelkwan6.wixsite.com, thomas8602.wixsite.com, kajar9.wixsite.com, goppolsme.wixsite.com, sketchbookpixels.wixsite.com, brittpinkiesims.wixsite.com, vbn1599512005.wixsite.com, elliesimple.wixsite.com, blaclewait.wixsite.com, spectacledchic.wixsite.com, japansecurity.wixsite.com, karasawa1499.wixsite.com, infofirstcoltd.wixsite.com, elreyruletero.wixsite.com, kevin17c.wixsite.com, biomagnetismoonline.wixsite.com, topfilm-liste.wixsite.com, byalchemixgta.wixsite.com, knjcommunity.wixsite.com, forsanalazhar.wixsite.com, serg060183.wixsite.com, ebonixsims.wixsite.com, urantob.wixsite.com, programask.wixsite.com, refuleros.wixsite.com, grooup.wixsite.com, andrakarma.wixsite.com, yamabuki-xx572.wixsite.com, gigantenerd.wixsite.com, d76conference.wixsite.com, astrolady.wixsite.com, 21android.wixsite.com, nickcarter89.wixsite.com, marchenforyou.wixsite.com, joeinoue.wixsite.com, pokelly.wixsite.com, ulabhubroma.wixsite.com, caoliucc.wixsite.com, flairforevents.wixsite.com, ozaki56jp.wixsite.com, stevenbrowncu.wixsite.com, tidusgamecomics.wixsite.com, wakachan020611.wixsite.com, gabrielrvilarouca.wixsite.com, pipe-gba.wixsite.com, vilaotech.wixsite.com, grafity-cc.wixsite.com, guiapandorabox.wixsite.com, neuedada.wixsite.com, daz3dfree.wixsite.com, beststreaming2017.wixsite.com, lloydgday.wixsite.com, knowingbrother.wixsite.com, taya-dream.wixsite.com, blahberrypancake.wixsite.com, detectiveconanw.wixsite.com, zedsoft.wixsite.com, miyajimanuma.wixsite.com, lightsartsproduction.wixsite.com, free-love9.wixsite.com, t-amusefactory.wixsite.com, rgnnr8.wixsite.com, nightpray1.wixsite.com, generacionzx.wixsite.com, chadolbagimore.wixsite.com, savagesims.wixsite.com, assettocorsa-mods.wixsite.com, rlord050.wixsite.com, denbaks.wixsite.com, selvaticonaturista.wixsite.com, howhugeistoohuge.wixsite.com, rqcash.wixsite.com, ayumea.wixsite.com, weronikasims.wixsite.com, npomorineko.wixsite.com, bettercalljo.wixsite.com, ye-developers.wixsite.com, yamatekai.wixsite.com, novvvas.wixsite.com, libresdigital.wixsite.com, tujhrf70.wixsite.com, assettocorsa-land.wixsite.com, aelkaeid.wixsite.com, panpan2558.wixsite.com, chisamidream.wixsite.com, bpenergia.wixsite.com, avogado6.wixsite.com, redmatchbox.wixsite.com, matiasbareiro15.wixsite.com, OTHER"
Nation of Islam,Black Nationalist,http://noirochester.org/,,,,,noirochester.org/,11336755,0,2,
Nation of Islam,Black Nationalist,http://noidc.org/,1,,,,noidc.org/,,,,
Nation of Islam,Black Nationalist,http://noicolumbus.org/,,,,,noicolumbus.org/,,,,
Nation of Islam,Black Nationalist,http://noibuffalo.org/,1,,,,noibuffalo.org/,9468174,0,2,
Nation of Islam,Black Nationalist,http://noiatlanta.org/,4,,,29-Aug-2005,noiatlanta.org/,9543015,0,5,
Christ Assembly,Christian Identity,http://newensign.christsassembly.com/,50,,"A Conservative, Independent and Interdenominational Communion of Saints.",,The Christ&#039;s Assembly Worldwide,1780768,0.01,2.2,"newensign.christsassembly.com, christsassembly.com"
Never Surrender Records,Hate Music & Neo-Nazi,http://neversurrenderrecords.com/,7,,,,neversurrenderrecords.com/,,,,
Keystone United/Keystone State Skinheads,Hate Music & Neo-Nazi,http://myforum.kss2001.com/,5,,,,myforum.kss2001.com/,,,,
Nation of Islam,Black Nationalist,http://muhammadstemple12.faithweb.com/,3114,"{u'OwnedDomain': [{u'Domain': u'3h.com', u'Title': u'3h.com'}, {u'Domain': u'4mg.com', u'Title': u'4mg.com'}, {u'Domain': u'50megs.com', u'Title': u'50megs.com'}, {u'Domain': u'5u.com', u'Title': u'5u.com'}, {u'Domain': u'72ss454elcamino.com', u'Title': u'72ss454elcamino.com'}, {u'Domain': u'8k.com', u'Title': u'8k.com'}, {u'Domain': u'8m.com', u'Title': u'8m.com'}, {u'Domain': u'aboutwebservices.com', u'Title': u'aboutwebservices.com'}, {u'Domain': u'all-audio-all-video.com', u'Title': u'all-audio-all-video.com'}, {u'Domain': u'bizhosting.com', u'Title': u'bizhosting.com'}, {u'Domain': u'businesscommunitynigeria.com', u'Title': u'businesscommunitynigeria.com'}, {u'Domain': u'communityarchitect.com', u'Title': u'communityarchitect.com'}, {u'Domain': u'freehosting.net', u'Title': u'freehosting.net'}, {u'Domain': u'freepolls.com', u'Title': u'freepolls.com'}, {u'Domain': u'freeservers.com', u'Title': u'freeservers.com'}, {u'Domain': u'fsbeta.com', u'Title': u'fsbeta.com'}, {u'Domain': u'global-servers.com', u'Title': u'global-servers.com'}, {u'Domain': u'globalservers.com', u'Title': u'globalservers.com'}, {u'Domain': u'hollywoofdogspa.com', u'Title': u'hollywoofdogspa.com'}, {u'Domain': u'htmlplanet.com', u'Title': u'htmlplanet.com'}, {u'Domain': u'i8.com', u'Title': u'i8.com'}, {u'Domain': u'istemp.com', u'Title': u'istemp.com'}, {u'Domain': u'itgo.com', u'Title': u'itgo.com'}, {u'Domain': u'iwarp.com', u'Title': u'iwarp.com'}, {u'Domain': u'mervinnorton.com', u'Title': u'mervinnorton.com'}, {u'Domain': u'myhostingpage.com', u'Title': u'myhostingpage.com'}, {u'Domain': u'northsky.com', u'Title': u'northsky.com'}, {u'Domain': u'nstemp.com', u'Title': u'nstemp.com'}, {u'Domain': u'nstemp.org', u'Title': u'nstemp.org'}, {u'Domain': u'nstempintl.com', u'Title': u'nstempintl.com'}, {u'Domain': u'scriptmania.com', u'Title': u'scriptmania.com'}, {u'Domain': u'sitetracker.com', u'Title': u'sitetracker.com'}, {u'Domain': u'theshoppe.com', u'Title': u'theshoppe.com'}, {u'Domain': u'tvheaven.com', u'Title': u'tvheaven.com'}, {u'Domain': u'vantagenet.com', u'Title': u'vantagenet.com'}]}","Located in Philadelphia, PA. Includes information about the community, their news, activities and history.",18-Jun-1998,Muhammads Temple Of  Islam #12,335496,0.07,1.4,"restored.faithweb.com, graceandknowledge.faithweb.com, amara.faithweb.com, first-baptist.faithweb.com, islamknowledge.faithweb.com, danieldarryl.faithweb.com, OTHER"
Nation of Islam,Black Nationalist,http://muhammadmosque8.com/,1,,,,muhammadmosque8.com/,18621153,0,1,
Nation of Islam,Black Nationalist,http://muhammadmosque69.blogspot.com/,,,,,muhammadmosque69.blogspot.com/,,,,
Nation of Islam,Black Nationalist,http://muhammadmosque24.webs.com/,,,,,muhammadmosque24.webs.com/,,,,
MSR Productions,Hate Music & Neo-Nazi,http://msrproductions.com/,11,,"Racialist music in many genres, books, videos, clothing, flags, and collectibles. Audio samples.",25-Nov-1998,MSR Productions,6215002,0,4,
Nation of Islam,Black Nationalist,http://mosque74.org/,1,,,,mosque74.org/,,,,
Nation of Islam,Black Nationalist,http://mm29.org/,1,,,,mm29.org/,,,,
Christogenea,Christian Identity,http://mk.christogenea.org/,318,,Christianity for the Thinking Man,,Christogenea.org,427013,0.07,2.5,"christogenea.org, mk.christogenea.org, boards.christogenea.org, OTHER"
Mississippi White Kngihts,KKK,http://mississippiwhiteknights.com/firstpage.htm,4,,,,mississippiwhiteknights.com/firstpage.htm,9654435,0,3,
Parasitic Records,Hate Music & Neo-Nazi,http://midnightbloodentertainment.blogspot.com/,,,,,midnightbloodentertainment.blogspot.com/,,,,
Maryland National Socialist Party,Hate Music & Neo-Nazi,http://mdnaziparty.blogspot.com/,6,,,,mdnaziparty.blogspot.com/,,,,
Loyal White Knights of the Ku Klux Klan,KKK,http://loyalwhiteknights.com/,,,,,loyalwhiteknights.com/,,,,
Bill Keller Ministries,General Hate,http://liveprayer.com/index.cfm,119,,TV and radio program archives. Daily devotional online and by e-mail. Prayer requests.,30-Jul-1999,Bill Keller Ministries: LivePrayer.com,,,,
Lincoln County Citizen Action Network,Anti-Muslim,http://lincolncountycan.com/,,,,,lincolncountycan.com/,,,,
League of the South,Neo-Confederate,http://leagueofthesouth.com/,162,,,18-Jul-1998,leagueofthesouth.com/,810156,0.03,2.6,DataUrl
Ku Klos Knights of the Ku Klux Klan,KKK,http://kuklosknights.com/,10,,,,kuklosknights.com/,2303657,0.01,1.6,
White Pride Radio,KKK,http://kkkradio.com/,5,,"The domain kkkradio.com has expired. Please contact your domain name registration service provider for further assistance. If you need help identifying your service provider, visit http://domainhelp.tucows.com .",16-Apr-2005,Kkkradio.com,,,,
Knights of the KKK,KKK,http://kkk.bz/,130,,,,kkk.bz/,1375318,0.02,2.1,DataUrl
Kinsman Redeemer Ministries,Christian Identity,http://kinsmanredeemer.com/,80,,,20-Nov-2000,kinsmanredeemer.com/,2102925,0.01,1.9,DataUrl
